name,# statements,order,coupling,fullness,# arrays,# rhs array refs,# rhs uniq array refs,# rhs ops (excluding indices)
3_stmts_recurrence_1_coupling_1_order_03_atoms,3,1,1,1.00,3,3,3,0
3_stmts_recurrence_1_coupling_1_order_04_atoms,3,1,1,1.33,3,4,3,1
3_stmts_recurrence_1_coupling_1_order_05_atoms,3,1,1,1.67,3,5,3,2
3_stmts_recurrence_1_coupling_1_order_06_atoms,3,1,1,2.00,3,6,3,3
3_stmts_recurrence_1_coupling_1_order_07_atoms,3,1,1,2.33,3,7,3,4
3_stmts_recurrence_1_coupling_1_order_08_atoms,3,1,1,2.67,3,8,3,5
3_stmts_recurrence_1_coupling_1_order_09_atoms,3,1,1,3.00,3,9,3,6
3_stmts_recurrence_1_coupling_1_order_10_atoms,3,1,1,3.33,3,10,3,7
3_stmts_recurrence_1_coupling_1_order_11_atoms,3,1,1,3.67,3,11,3,8
3_stmts_recurrence_1_coupling_1_order_12_atoms,3,1,1,4.00,3,12,3,9
3_stmts_recurrence_1_coupling_1_order_13_atoms,3,1,1,4.33,3,13,3,10
3_stmts_recurrence_1_coupling_1_order_14_atoms,3,1,1,4.67,3,14,3,11
3_stmts_recurrence_1_coupling_1_order_15_atoms,3,1,1,5.00,3,15,3,12
3_stmts_recurrence_1_coupling_1_order_16_atoms,3,1,1,5.33,3,16,3,13
3_stmts_recurrence_1_coupling_1_order_17_atoms,3,1,1,5.67,3,17,3,14
3_stmts_recurrence_1_coupling_1_order_18_atoms,3,1,1,6.00,3,18,3,15
3_stmts_recurrence_2_coupling_1_order_05_atoms,3,1,2,1.67,3,5,3,2
3_stmts_recurrence_2_coupling_1_order_06_atoms,3,1,2,2.00,3,6,3,3
3_stmts_recurrence_2_coupling_1_order_07_atoms,3,1,2,2.33,3,7,3,4
3_stmts_recurrence_2_coupling_1_order_08_atoms,3,1,2,2.67,3,8,3,5
3_stmts_recurrence_2_coupling_1_order_09_atoms,3,1,2,3.00,3,9,3,6
3_stmts_recurrence_2_coupling_1_order_10_atoms,3,1,2,3.33,3,10,3,7
3_stmts_recurrence_2_coupling_1_order_11_atoms,3,1,2,3.67,3,11,3,8
3_stmts_recurrence_2_coupling_1_order_12_atoms,3,1,2,4.00,3,12,3,9
3_stmts_recurrence_2_coupling_1_order_13_atoms,3,1,2,4.33,3,13,3,10
3_stmts_recurrence_2_coupling_1_order_14_atoms,3,1,2,4.67,3,14,3,11
3_stmts_recurrence_2_coupling_1_order_15_atoms,3,1,2,5.00,3,15,3,12
3_stmts_recurrence_2_coupling_1_order_16_atoms,3,1,2,5.33,3,16,3,13
3_stmts_recurrence_2_coupling_1_order_17_atoms,3,1,2,5.67,3,17,3,14
3_stmts_recurrence_2_coupling_1_order_18_atoms,3,1,2,6.00,3,18,3,15
3_stmts_recurrence_3_coupling_1_order_06_atoms,3,1,3,2.00,3,6,3,3
3_stmts_recurrence_3_coupling_1_order_07_atoms,3,1,3,2.33,3,7,3,4
3_stmts_recurrence_3_coupling_1_order_08_atoms,3,1,3,2.67,3,8,3,5
3_stmts_recurrence_3_coupling_1_order_09_atoms,3,1,3,3.00,3,9,3,6
3_stmts_recurrence_3_coupling_1_order_10_atoms,3,1,3,3.33,3,10,3,7
3_stmts_recurrence_3_coupling_1_order_11_atoms,3,1,3,3.67,3,11,3,8
3_stmts_recurrence_3_coupling_1_order_12_atoms,3,1,3,4.00,3,12,3,9
3_stmts_recurrence_3_coupling_1_order_13_atoms,3,1,3,4.33,3,13,3,10
3_stmts_recurrence_3_coupling_1_order_14_atoms,3,1,3,4.67,3,14,3,11
3_stmts_recurrence_3_coupling_1_order_15_atoms,3,1,3,5.00,3,15,3,12
3_stmts_recurrence_3_coupling_1_order_16_atoms,3,1,3,5.33,3,16,3,13
3_stmts_recurrence_3_coupling_1_order_17_atoms,3,1,3,5.67,3,17,3,14
3_stmts_recurrence_3_coupling_1_order_18_atoms,3,1,3,6.00,3,18,3,15
3_stmts_recurrence_1_coupling_2_order_03_atoms,3,2,1,1.00,3,3,3,0
3_stmts_recurrence_1_coupling_2_order_04_atoms,3,2,1,1.33,3,4,3,1
3_stmts_recurrence_1_coupling_2_order_05_atoms,3,2,1,1.67,3,5,4,2
3_stmts_recurrence_1_coupling_2_order_06_atoms,3,2,1,2.00,3,6,4,3
3_stmts_recurrence_1_coupling_2_order_07_atoms,3,2,1,2.33,3,7,5,4
3_stmts_recurrence_1_coupling_2_order_08_atoms,3,2,1,2.67,3,8,4,5
3_stmts_recurrence_1_coupling_2_order_09_atoms,3,2,1,3.00,3,9,4,6
3_stmts_recurrence_1_coupling_2_order_10_atoms,3,2,1,3.33,3,10,6,7
3_stmts_recurrence_1_coupling_2_order_11_atoms,3,2,1,3.67,3,11,5,8
3_stmts_recurrence_1_coupling_2_order_12_atoms,3,2,1,4.00,3,12,5,9
3_stmts_recurrence_1_coupling_2_order_13_atoms,3,2,1,4.33,3,13,6,10
3_stmts_recurrence_1_coupling_2_order_14_atoms,3,2,1,4.67,3,14,6,11
3_stmts_recurrence_1_coupling_2_order_15_atoms,3,2,1,5.00,3,15,6,12
3_stmts_recurrence_1_coupling_2_order_16_atoms,3,2,1,5.33,3,16,6,13
3_stmts_recurrence_1_coupling_2_order_17_atoms,3,2,1,5.67,3,17,5,14
3_stmts_recurrence_1_coupling_2_order_18_atoms,3,2,1,6.00,3,18,6,15
3_stmts_recurrence_2_coupling_2_order_05_atoms,3,2,2,1.67,3,5,3,2
3_stmts_recurrence_2_coupling_2_order_06_atoms,3,2,2,2.00,3,6,4,3
3_stmts_recurrence_2_coupling_2_order_07_atoms,3,2,2,2.33,3,7,4,4
3_stmts_recurrence_2_coupling_2_order_08_atoms,3,2,2,2.67,3,8,4,5
3_stmts_recurrence_2_coupling_2_order_09_atoms,3,2,2,3.00,3,9,4,6
3_stmts_recurrence_2_coupling_2_order_10_atoms,3,2,2,3.33,3,10,3,7
3_stmts_recurrence_2_coupling_2_order_11_atoms,3,2,2,3.67,3,11,5,8
3_stmts_recurrence_2_coupling_2_order_12_atoms,3,2,2,4.00,3,12,4,9
3_stmts_recurrence_2_coupling_2_order_13_atoms,3,2,2,4.33,3,13,6,10
3_stmts_recurrence_2_coupling_2_order_14_atoms,3,2,2,4.67,3,14,6,11
3_stmts_recurrence_2_coupling_2_order_15_atoms,3,2,2,5.00,3,15,6,12
3_stmts_recurrence_2_coupling_2_order_16_atoms,3,2,2,5.33,3,16,5,13
3_stmts_recurrence_2_coupling_2_order_17_atoms,3,2,2,5.67,3,17,6,14
3_stmts_recurrence_2_coupling_2_order_18_atoms,3,2,2,6.00,3,18,6,15
3_stmts_recurrence_3_coupling_2_order_06_atoms,3,2,3,2.00,3,6,3,3
