name,# stmts,scalar refs,array refs,ops,computation,order,# atoms,# uniq atoms,group size,fullness
3_stmts_recurrence_1_order_03_atoms_v1,3,2+2+2 = 6,2+2+2 = 6,6+6+6 = 18,recurrence,1,3,3,1,1.00
3_stmts_recurrence_1_order_03_atoms_v2,3,2+2+2 = 6,2+2+2 = 6,6+6+6 = 18,recurrence,1,3,3,1,1.00
3_stmts_recurrence_1_order_03_atoms_v3,3,2+2+2 = 6,2+2+2 = 6,6+6+6 = 18,recurrence,1,3,3,1,1.00
3_stmts_recurrence_1_order_04_atoms_v1,3,2+2+3 = 7,2+2+3 = 7,6+6+7 = 19,recurrence,1,4,3,2,1.33
3_stmts_recurrence_1_order_04_atoms_v2,3,2+2+3 = 7,2+2+3 = 7,6+6+7 = 19,recurrence,1,4,3,2,1.33
3_stmts_recurrence_1_order_04_atoms_v3,3,2+2+3 = 7,2+2+3 = 7,6+6+7 = 19,recurrence,1,4,3,1,1.33
3_stmts_recurrence_1_order_05_atoms_v1,3,2+3+3 = 8,2+3+3 = 8,6+7+7 = 20,recurrence,1,5,3,3,1.67
3_stmts_recurrence_1_order_05_atoms_v2,3,2+4+2 = 8,2+4+2 = 8,6+8+6 = 20,recurrence,1,5,3,3,1.67
3_stmts_recurrence_1_order_05_atoms_v3,3,2+3+3 = 8,2+3+3 = 8,6+7+7 = 20,recurrence,1,5,3,2,1.67
3_stmts_recurrence_1_order_06_atoms_v1,3,3+3+3 = 9,3+3+3 = 9,7+7+7 = 21,recurrence,1,6,3,3,2.00
3_stmts_recurrence_1_order_06_atoms_v2,3,4+3+2 = 9,4+3+2 = 9,8+7+6 = 21,recurrence,1,6,3,2,2.00
3_stmts_recurrence_1_order_06_atoms_v3,3,3+2+4 = 9,3+2+4 = 9,7+6+8 = 21,recurrence,1,6,3,2,2.00
3_stmts_recurrence_1_order_07_atoms_v1,3,4+2+4 = 10,4+2+4 = 10,8+6+8 = 22,recurrence,1,7,3,3,2.33
3_stmts_recurrence_1_order_07_atoms_v2,3,3+3+4 = 10,3+3+4 = 10,7+7+8 = 22,recurrence,1,7,3,2,2.33
3_stmts_recurrence_1_order_07_atoms_v3,3,4+4+2 = 10,4+4+2 = 10,8+8+6 = 22,recurrence,1,7,3,3,2.33
3_stmts_recurrence_1_order_08_atoms_v1,3,3+2+6 = 11,3+2+6 = 11,7+6+10 = 23,recurrence,1,8,3,3,2.67
3_stmts_recurrence_1_order_08_atoms_v2,3,4+4+3 = 11,4+4+3 = 11,8+8+7 = 23,recurrence,1,8,3,3,2.67
3_stmts_recurrence_1_order_08_atoms_v3,3,5+3+3 = 11,5+3+3 = 11,9+7+7 = 23,recurrence,1,8,3,3,2.67
3_stmts_recurrence_1_order_09_atoms_v1,3,4+5+3 = 12,4+5+3 = 12,8+9+7 = 24,recurrence,1,9,3,3,3.00
3_stmts_recurrence_1_order_09_atoms_v2,3,3+4+5 = 12,3+4+5 = 12,7+8+9 = 24,recurrence,1,9,3,3,3.00
3_stmts_recurrence_1_order_09_atoms_v3,3,3+4+5 = 12,3+4+5 = 12,7+8+9 = 24,recurrence,1,9,3,3,3.00
3_stmts_recurrence_1_order_10_atoms_v1,3,3+6+4 = 13,3+6+4 = 13,7+10+8 = 25,recurrence,1,10,3,3,3.33
3_stmts_recurrence_1_order_10_atoms_v2,3,3+4+6 = 13,3+4+6 = 13,7+8+10 = 25,recurrence,1,10,3,3,3.33
3_stmts_recurrence_1_order_10_atoms_v3,3,4+4+5 = 13,4+4+5 = 13,8+8+9 = 25,recurrence,1,10,3,3,3.33
