name,# stmts,scalars,arrays,ops,scalar type,# total unique arrays
5_scalars_20_arrs,5,1+1+1+1+1 = 5,4+4+4+4+4 = 20,4+4+4+4+4 = 20,double,20
5_scalars_21_arrs,5,1+1+1+1+1 = 5,4+4+4+4+5 = 21,4+4+4+4+5 = 21,double,20
5_scalars_22_arrs,5,1+1+1+1+1 = 5,4+4+4+4+6 = 22,4+4+4+4+6 = 22,double,20
5_scalars_23_arrs,5,1+1+1+1+1 = 5,4+4+4+4+7 = 23,4+4+4+4+7 = 23,double,20
5_scalars_24_arrs,5,1+1+1+1+1 = 5,4+4+4+4+8 = 24,4+4+4+4+8 = 24,double,20
5_scalars_25_arrs,5,1+1+1+1+1 = 5,4+4+4+4+9 = 25,4+4+4+4+9 = 25,double,20
5_scalars_26_arrs,5,1+1+1+1+1 = 5,4+4+4+4+10 = 26,4+4+4+4+10 = 26,double,20
5_scalars_27_arrs,5,1+1+1+1+1 = 5,4+4+4+5+10 = 27,4+4+4+5+10 = 27,double,20
5_scalars_28_arrs,5,1+1+1+1+1 = 5,4+4+4+6+10 = 28,4+4+4+6+10 = 28,double,20
5_scalars_29_arrs,5,1+1+1+1+1 = 5,4+4+4+7+10 = 29,4+4+4+7+10 = 29,double,20
5_scalars_30_arrs,5,1+1+1+1+1 = 5,4+4+4+8+10 = 30,4+4+4+8+10 = 30,double,20
5_scalars_31_arrs,5,1+1+1+1+1 = 5,4+4+4+9+10 = 31,4+4+4+9+10 = 31,double,20
5_scalars_32_arrs,5,1+1+1+1+1 = 5,4+4+4+10+10 = 32,4+4+4+10+10 = 32,double,20
5_scalars_33_arrs,5,1+1+1+1+1 = 5,4+4+5+10+10 = 33,4+4+5+10+10 = 33,double,20
5_scalars_34_arrs,5,1+1+1+1+1 = 5,4+4+6+10+10 = 34,4+4+6+10+10 = 34,double,20
5_scalars_35_arrs,5,1+1+1+1+1 = 5,4+4+7+10+10 = 35,4+4+7+10+10 = 35,double,20
5_scalars_36_arrs,5,1+1+1+1+1 = 5,4+4+8+10+10 = 36,4+4+8+10+10 = 36,double,20
5_scalars_37_arrs,5,1+1+1+1+1 = 5,4+4+9+10+10 = 37,4+4+9+10+10 = 37,double,20
5_scalars_38_arrs,5,1+1+1+1+1 = 5,4+4+10+10+10 = 38,4+4+10+10+10 = 38,double,20
5_scalars_39_arrs,5,1+1+1+1+1 = 5,4+5+10+10+10 = 39,4+5+10+10+10 = 39,double,20
5_scalars_40_arrs,5,1+1+1+1+1 = 5,4+6+10+10+10 = 40,4+6+10+10+10 = 40,double,20
5_scalars_41_arrs,5,1+1+1+1+1 = 5,4+7+10+10+10 = 41,4+7+10+10+10 = 41,double,20
5_scalars_42_arrs,5,1+1+1+1+1 = 5,4+8+10+10+10 = 42,4+8+10+10+10 = 42,double,20
5_scalars_43_arrs,5,1+1+1+1+1 = 5,4+9+10+10+10 = 43,4+9+10+10+10 = 43,double,20
5_scalars_44_arrs,5,1+1+1+1+1 = 5,4+10+10+10+10 = 44,4+10+10+10+10 = 44,double,20
5_scalars_45_arrs,5,1+1+1+1+1 = 5,5+10+10+10+10 = 45,5+10+10+10+10 = 45,double,20
5_scalars_46_arrs,5,1+1+1+1+1 = 5,6+10+10+10+10 = 46,6+10+10+10+10 = 46,double,20
5_scalars_47_arrs,5,1+1+1+1+1 = 5,7+10+10+10+10 = 47,7+10+10+10+10 = 47,double,20
5_scalars_48_arrs,5,1+1+1+1+1 = 5,8+10+10+10+10 = 48,8+10+10+10+10 = 48,double,20
5_scalars_49_arrs,5,1+1+1+1+1 = 5,9+10+10+10+10 = 49,9+10+10+10+10 = 49,double,20
5_scalars_50_arrs,5,1+1+1+1+1 = 5,10+10+10+10+10 = 50,10+10+10+10+10 = 50,double,20
