name,# statements,fullness,# arrays,# rhs array refs,# rhs uniq array refs,# rhs ops (excluding indices)
5_stmts_01_arrs_no_coupling,5,5.00,1,25,1,25
5_stmts_02_arrs_no_coupling,5,5.00,2,25,2,25
5_stmts_03_arrs_no_coupling,5,5.00,3,25,3,25
5_stmts_04_arrs_no_coupling,5,5.00,4,25,4,25
5_stmts_05_arrs_no_coupling,5,5.00,5,25,5,25
5_stmts_06_arrs_no_coupling,5,5.00,6,25,6,25
5_stmts_07_arrs_no_coupling,5,5.00,7,25,7,25
5_stmts_08_arrs_no_coupling,5,5.00,8,25,8,25
5_stmts_09_arrs_no_coupling,5,5.00,9,25,9,25
5_stmts_10_arrs_no_coupling,5,5.00,10,25,10,25
5_stmts_11_arrs_no_coupling,5,5.00,11,25,11,25
5_stmts_12_arrs_no_coupling,5,5.00,12,25,12,25
5_stmts_13_arrs_no_coupling,5,5.00,13,25,13,25
5_stmts_14_arrs_no_coupling,5,5.00,14,25,14,25
5_stmts_15_arrs_no_coupling,5,5.00,15,25,15,25
5_stmts_16_arrs_no_coupling,5,5.00,16,25,16,25
5_stmts_17_arrs_no_coupling,5,5.00,17,25,17,25
5_stmts_18_arrs_no_coupling,5,5.00,18,25,18,25
5_stmts_19_arrs_no_coupling,5,5.00,19,25,19,25
5_stmts_20_arrs_no_coupling,5,5.00,20,25,20,25
5_stmts_21_arrs_no_coupling,5,5.00,21,25,21,25
5_stmts_22_arrs_no_coupling,5,5.00,22,25,22,25
5_stmts_23_arrs_no_coupling,5,5.00,23,25,23,25
5_stmts_24_arrs_no_coupling,5,5.00,24,25,24,25
5_stmts_25_arrs_no_coupling,5,5.00,25,25,25,25
