name,# stmts,scalars,arrays,ops,scalar type
1_scalars_01_uniq_arrs_int_scalars,1,1,1,1,int
1_scalars_02_uniq_arrs_int_scalars,1,1,2,2,int
1_scalars_03_uniq_arrs_int_scalars,1,1,3,3,int
1_scalars_04_uniq_arrs_int_scalars,1,1,4,4,int
1_scalars_05_uniq_arrs_int_scalars,1,1,5,5,int
2_scalars_06_uniq_arrs_int_scalars,2,1+1 = 2,3+3 = 6,3+3 = 6,int
2_scalars_07_uniq_arrs_int_scalars,2,1+1 = 2,3+4 = 7,3+4 = 7,int
2_scalars_08_uniq_arrs_int_scalars,2,1+1 = 2,4+4 = 8,4+4 = 8,int
2_scalars_09_uniq_arrs_int_scalars,2,1+1 = 2,4+5 = 9,4+5 = 9,int
2_scalars_10_uniq_arrs_int_scalars,2,1+1 = 2,5+5 = 10,5+5 = 10,int
3_scalars_11_uniq_arrs_int_scalars,3,1+1+1 = 3,4+2+5 = 11,4+2+5 = 11,int
3_scalars_12_uniq_arrs_int_scalars,3,1+1+1 = 3,4+5+3 = 12,4+5+3 = 12,int
3_scalars_13_uniq_arrs_int_scalars,3,1+1+1 = 3,5+5+3 = 13,5+5+3 = 13,int
3_scalars_14_uniq_arrs_int_scalars,3,1+1+1 = 3,5+5+4 = 14,5+5+4 = 14,int
3_scalars_15_uniq_arrs_int_scalars,3,1+1+1 = 3,5+5+5 = 15,5+5+5 = 15,int
4_scalars_16_uniq_arrs_int_scalars,4,1+1+1+1 = 4,3+4+5+4 = 16,3+4+5+4 = 16,int
4_scalars_17_uniq_arrs_int_scalars,4,1+1+1+1 = 4,5+5+3+4 = 17,5+5+3+4 = 17,int
4_scalars_18_uniq_arrs_int_scalars,4,1+1+1+1 = 4,4+5+5+4 = 18,4+5+5+4 = 18,int
4_scalars_19_uniq_arrs_int_scalars,4,1+1+1+1 = 4,5+5+5+4 = 19,5+5+5+4 = 19,int
4_scalars_20_uniq_arrs_int_scalars,4,1+1+1+1 = 4,5+5+5+5 = 20,5+5+5+5 = 20,int
5_scalars_21_uniq_arrs_int_scalars,5,1+1+1+1+1 = 5,3+4+4+5+5 = 21,3+4+4+5+5 = 21,int
5_scalars_22_uniq_arrs_int_scalars,5,1+1+1+1+1 = 5,4+5+5+4+4 = 22,4+5+5+4+4 = 22,int
5_scalars_23_uniq_arrs_int_scalars,5,1+1+1+1+1 = 5,4+5+4+5+5 = 23,4+5+4+5+5 = 23,int
5_scalars_24_uniq_arrs_int_scalars,5,1+1+1+1+1 = 5,5+5+5+5+4 = 24,5+5+5+5+4 = 24,int
5_scalars_25_uniq_arrs_int_scalars,5,1+1+1+1+1 = 5,5+5+5+5+5 = 25,5+5+5+5+5 = 25,int
