|                               Benchmark |     pgi_s |     pgi_v |   clang_s |   clang_v |     gcc_s |     gcc_v |     icc_s |     icc_v |
|              conv_i232_h_w_c_kh_kw_kc_c |    292262 |    292439 |     56993 |     56994 |    114744 |    114748 |     96191 |     59553 |
|              conv_i232_h_w_c_kh_kc_kw_c |    287521 |    287507 |    170195 |     75949 |    127027 |     38329 |     96184 |     59175 |
|              conv_i232_h_w_c_kw_kh_kc_c |    292752 |    292704 |     56825 |     56829 |    118837 |    118855 |     96214 |     59540 |
|              conv_i232_h_w_c_kw_kc_kh_c |    286965 |    286972 |    170188 |     75915 |    127359 |     37260 |     96196 |     59152 |
|              conv_i232_h_w_c_kc_kh_kw_c |    287421 |    287424 |    170182 |    170186 |    123301 |    123272 |     96209 |     59545 |
|              conv_i232_h_w_c_kc_kw_kh_c |    286962 |    286965 |    170181 |    170186 |    119603 |    119603 |     96202 |     59542 |
|              conv_i232_h_w_kh_c_kw_kc_c |    185885 |    185733 |     57352 |     57530 |     97186 |     97257 |     96197 |     59588 |
|              conv_i232_h_w_kh_c_kc_kw_c |    166823 |    165876 |    170393 |     20828 |     97948 |     35562 |     96209 |     59672 |
|              conv_i232_h_w_kh_kw_c_kc_c |     88890 |     88888 |     58198 |     61396 |     67154 |     67155 |     96224 |     59673 |
|              conv_i232_h_w_kh_kw_kc_c_c |    166928 |    166956 |    107201 |     66850 |    138599 |     72116 |     96212 |     59654 |
|              conv_i232_h_w_kh_kc_c_kw_c |     68779 |     70081 |     69709 |     61662 |     61574 |     61093 |     96184 |     59222 |
|              conv_i232_h_w_kh_kc_kw_c_c |    169296 |     69591 |    113523 |     67790 |    172364 |     72104 |     76406 |     76399 |
|              conv_i232_h_w_kw_c_kh_kc_c |    186321 |    185767 |     57733 |     57698 |     96777 |     96879 |     96211 |     59560 |
|              conv_i232_h_w_kw_c_kc_kh_c |    166212 |    165813 |    170383 |     21279 |     98296 |     35904 |     96226 |     59664 |
|              conv_i232_h_w_kw_kh_c_kc_c |     89044 |     89048 |     58248 |     61400 |     67936 |     67986 |     96194 |     59552 |
|              conv_i232_h_w_kw_kh_kc_c_c |    166900 |    166896 |    107194 |     67105 |    170519 |     72271 |     59126 |     45078 |
|              conv_i232_h_w_kw_kc_c_kh_c |     71478 |     72340 |     72316 |     59149 |     62942 |     63004 |     96203 |     59134 |
|              conv_i232_h_w_kw_kc_kh_c_c |    169295 |    169301 |    112917 |     67428 |    144276 |     72264 |     74005 |     73975 |
|              conv_i232_h_w_kc_c_kh_kw_c |    242310 |    242332 |    170250 |    170251 |    124031 |    124042 |     96200 |     59574 |
|              conv_i232_h_w_kc_c_kw_kh_c |    240515 |    240526 |    170240 |    170240 |    117135 |    117098 |     96196 |     59541 |
|              conv_i232_h_w_kc_kh_c_kw_c |     68737 |     69027 |     69538 |     61570 |     61156 |     61177 |     96180 |     59162 |
