name, n_rhs_vars, n1, l1, n2, l2
lshape_03_03x04_05x03, 3, 3, 4, 5, 3
lshape_03_03x05_03x05, 3, 3, 5, 3, 5
lshape_04_04x07_04x03, 4, 4, 7, 4, 3
lshape_07_03x04_06x03, 7, 3, 4, 6, 3
lshape_07_04x10_06x05, 7, 4, 10, 6, 5
lshape_09_04x04_10x04, 9, 4, 4, 10, 4
lshape_10_05x10_08x04, 10, 5, 10, 8, 4
lshape_12_03x05_10x05, 12, 3, 5, 10, 5
lshape_16_04x10_09x01, 16, 4, 10, 9, 1
lshape_17_04x06_04x01, 17, 4, 6, 4, 1
lshape_17_04x06_06x05, 17, 4, 6, 6, 5
lshape_17_05x10_08x04, 17, 5, 10, 8, 4
lshape_18_05x04_06x02, 18, 5, 4, 6, 2
lshape_20_02x03_06x02, 20, 2, 3, 6, 2
lshape_20_05x06_07x05, 20, 5, 6, 7, 5
