program,pgi_s,pgi_v,clang_s,clang_v,gcc_s,gcc_v,icc_s,icc_v
unroll.1,2.74,2.49,6.73,1.88,7.46,1.9,6.75,1.89
unroll.2,2.74,2.74,6.74,3.27,6.75,1.89,6.75,1.88
unroll.3,2.71,2.72,6.81,3.17,6.78,1.75,6.76,1.71
unroll.4,2.74,2.74,2.22,3.08,6.76,1.9,6.76,1.89
unroll.5,3.59,3.59,3.48,2.94,6.82,1.69,6.76,1.9
unroll.6,2.72,2.72,3.99,3.14,6.8,1.75,6.76,7.45
unroll.7,3.37,3.37,4.46,4.45,6.82,1.68,6.73,7.76
unroll.8,2.73,2.74,1.95,3.96,6.82,1.9,6.76,1.9
unroll.9,3.23,3.22,2.39,9.62,6.81,1.68,6.74,7.8
unroll.10,3.58,3.6,2.74,9.64,6.79,1.7,6.76,1.9
unroll.11,3.77,3.78,3.05,9.59,6.8,1.66,6.66,8.13
unroll.12,2.71,2.71,3.25,9.58,6.8,1.74,6.68,8.43
unroll.13,2.95,2.95,3.6,9.58,6.82,1.66,6.6,8.2
unroll.14,3.37,3.36,3.75,9.58,6.83,1.67,6.59,8.01
unroll.15,3.48,3.48,3.95,9.86,6.82,1.68,6.6,8.09
unroll.16,2.74,2.73,1.93,9.69,6.82,1.9,6.75,1.89
unroll.17,2.87,2.86,1.85,9.78,6.83,1.69,6.58,8.18
unroll.18,3.22,3.04,2.08,9.81,6.83,1.68,6.56,1.66
unroll.19,3.29,3.29,2.32,9.79,6.82,1.67,6.54,1.64
unroll.20,2.72,2.71,1.64,9.78,6.81,1.7,6.75,1.89
